state,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,4799642,4816632,4831586,4843737,4854803,4866824,4877989,4891628,4907965,4921532,5049846
Alaska,722349,730810,737626,737075,738430,742575,740983,736624,733603,731158,734182
Arizona,6473416,6556344,6634690,6732873,6832810,6944767,7048088,7164228,7291843,7421401,7264877
Arkansas,2941038,2952876,2960459,2968759,2979732,2991815,3003855,3012161,3020985,3030522,3028122
California,37636311,37944551,38253768,38586706,38904296,39149186,39337785,39437463,39437610,39368078,39142991
Colorado,5121900,5193660,5270774,5352637,5454328,5543844,5617421,5697155,5758486,5807719,5811297
Connecticut,3588632,3595211,3595792,3595697,3588561,3579830,3575324,3574561,3566022,3557006,3623355
Delaware,907590,915518,924062,933131,942065,949989,957942,966985,976668,986809,1004807
District of Columbia,620290,635737,651559,663603,677014,687576,697079,704147,708253,712816,668791
Florida,19055607,19302016,19551678,19853880,20219111,20627237,20977089,21254926,21492056,21733312,21828069
Georgia,9803630,9903580,9975592,10071204,10183353,10308442,10417031,10519389,10628020,10710017,10788029
Hawaii,1379562,1395199,1408822,1415335,1422999,1428885,1425763,1423102,1415615,1407006,1447154
Idaho,1584272,1595910,1612053,1632248,1652495,1684036,1719745,1752074,1789060,1826913,1904314
Illinois,12867783,12883029,12895778,12885092,12859585,12821709,12779893,12724685,12667017,12587530,12686469
Indiana,6517250,6538989,6570575,6596019,6611442,6637898,6662068,6698481,6731010,6754953,6813532
Iowa,3066772,3076844,3093935,3110643,3122541,3133210,3143734,3149900,3159596,3163561,3197689
Kansas,2869677,2886024,2894306,2901861,2910717,2912977,2910892,2912748,2912635,2913805,2937922
Kentucky,4370817,4387865,4406906,4416992,4429126,4440306,4455590,4464273,4472345,4477251,4506589
Louisiana,4576244,4602067,4626040,4645938,4666998,4681346,4673673,4664450,4658285,4645318,4627098
Maine,1328473,1328094,1328543,1331217,1329098,1332348,1335743,1340123,1345770,1350141,1377238
Maryland,5840241,5888375,5925197,5960064,5988528,6007014,6028186,6042153,6054954,6055802,6174610
Massachusetts,6614218,6664269,6715158,6764864,6797484,6827280,6863560,6885720,6894883,6893574,6989690
Michigan,9883053,9898289,9914802,9932033,9934483,9954117,9976752,9987286,9984795,9966555,10037504
Minnesota,5346620,5377500,5414722,5452665,5484002,5525360,5569283,5608762,5640053,5657342,5711471
Mississippi,2979147,2984599,2989839,2991892,2990231,2990595,2990674,2982879,2978227,2966786,2949586
Missouri,6011182,6026027,6042989,6059130,6075411,6091384,6111382,6125986,6140475,6151548,6169823
Montana,997518,1004168,1014158,1022657,1031495,1042137,1053862,1061818,1070123,1080577,1106227
Nebraska,1840914,1853691,1865813,1879955,1892059,1906483,1916998,1925512,1932571,1937552,1963554
Nevada,2713114,2744670,2776956,2818935,2868531,2919555,2972097,3030725,3090771,3138259,3146402
New Hampshire,1320444,1324677,1327272,1334257,1337480,1343694,1350395,1355064,1360783,1366275,1387505
New Jersey,8828552,8845671,8857821,8867277,8870312,8873584,8888147,8891730,8891258,8882371,9267961
New Mexico,2080707,2087715,2092833,2090236,2090071,2092555,2092844,2093754,2099634,2106319,2116677
New York,19499921,19574362,19626488,19653431,19657321,19636391,19593849,19544098,19463131,19336776,19857492
North Carolina,9658913,9751810,9846717,9937295,10037218,10161802,10275758,10391358,10501384,10600823,10565885
North Dakota,685526,702227,723149,738736,755537,756114,756755,760062,763724,765309,777934
Ohio,11545735,11550971,11579692,11606573,11622315,11640060,11665706,11680892,11696507,11693217,11764342
Oklahoma,3788824,3819320,3853891,3879187,3910518,3928143,3933602,3943488,3960676,3980783,3991225
Oregon,3872672,3900102,3924110,3965447,4018542,4093271,4147294,4183538,4216116,4241507,4256301
Pennsylvania,12747052,12769123,12779538,12792392,12789838,12788468,12794679,12809107,12798883,12783254,13012059
Rhode Island,1053829,1054893,1055560,1056511,1056886,1057816,1056554,1059338,1058158,1057125,1096985
South Carolina,4672655,4719027,4766469,4826858,4896006,4963031,5027102,5091702,5157702,5218040,5193266
South Dakota,823740,833859,842751,849670,854663,863693,873732,879386,887127,892717,896164
Tennessee,6400298,6455752,6496943,6544617,6595354,6651277,6714748,6778180,6830325,6886834,6968351
Texas,25645504,26084120,26479646,26963092,27468531,27914064,28291024,28624564,28986794,29360759,29558864
Utah,2814797,2854146,2898773,2938327,2983626,3044241,3103540,3155153,3203383,3249879,3339113
Vermont,627197,626361,626603,625693,625810,624366,625132,624802,624046,623347,646972
Virginia,8102437,8187456,8255861,8315430,8367303,8417651,8471011,8510920,8556642,8590563,8657365
Washington,6827479,6898599,6966252,7057531,7167287,7299961,7427951,7526793,7614024,7693612,7740745
West Virginia,1856606,1857446,1854768,1850569,1843332,1832435,1818683,1805953,1795263,1784787,1785526
Wisconsin,5705840,5720825,5738012,5753199,5762927,5775170,5793147,5809319,5824581,5832655,5880101
Wyoming,567491,576656,582620,583159,586389,585243,579994,579054,580116,582328,579483